,Job Title,Salary Estimate,Job Description,Skills,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,cloud,excel,sql,machine_learning,statistics,salary_range,job_simp,seniority,desc_len
0,Assoc Performance Data Scientist,$66K - $70K (Employer est.),"As needed, assist with developing and validating new algorithms, analysis tools, and predictive models. The associate develops tools to optimize performance……","Skills: Cloud infrastructure, R, HIPAA, SQL, AWS",2.7,United States Olympic and Paralympic Committee,Remote,501 to 1000 Employees,1894,Nonprofit Organization,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),0,66.0,70.0,68.0,United States Olympic and Paralympic Commit,,130,0,1,0,1,1,1,0,0,4.0,data scientist,na,158
1,Data Scientist,$89K - $118K (Employer est.),You possess a strong drive to learn and excel in solving complex problems using data-driven tools and algorithms. Evidence of innovative problem-solving skills.…,"Skills: TensorFlow, Statistics, Microsoft Excel, SQL, Machine learning",3.6,WEX Inc.,"Portland, ME",1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,89.0,118.0,103.5,WEX I,ME,41,0,1,0,0,1,1,1,1,29.0,data scientist,na,161
2,Data Scientist,$113K - $121K (Employer est.),"This position will require strong technical skills, including exploratory data analysis, data visualization, statistical analysis, and predictive modeling.…","Skills: Power BI, Azure, Data mining, Big data, R",3.9,TradeStation,Remote,501 to 1000 Employees,1982,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,113.0,121.0,117.0,TradeStat,,42,0,1,0,1,1,0,0,0,8.0,data scientist,na,156
3,Data Scientist,$78K - $112K (Glassdoor est.),"Execute strategy and support applications of statistical analysis, Machine Learning, Computer vision, and AI tools to improve product development, manufacturing……","Skills: Jira, TensorFlow, CI/CD, Computer vision, DevOps",3.8,Magna International Inc.,"Troy, MI",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),0,78.0,112.0,95.0,Magna International I,MI,67,0,1,0,0,1,0,0,0,34.0,data scientist,na,162
4,Data Scientist,$110K - $200K (Employer est.),3+ years of experience in working in the field of data analysis or 2+ years of experience in data science building ML models.…,"Skills: TensorFlow, Software deployment, R, Data analysis skills, Databases",3.8,"Ingenio, LLC",Remote,201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),0,110.0,200.0,155.0,"Ingenio,",,11,0,1,0,0,1,0,0,0,90.0,data scientist,na,126
5,Sr. Associate Data Scientist,$83K - $138K (Employer est.),JOB DUTIES: Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions; Identify……,"Skills: Power BI, Data mining, R, SQL, Statistical analysis",3.8,McKesson,"Irving, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,83.0,138.0,110.5,McKes,TX,191,0,1,0,0,1,1,0,1,55.0,data scientist,senior,156
6,Data Scientist,$82K - $175K (Employer est.),"Work with a team of high-performing analytics, data science professionals, and cross-functional teams to identify business opportunities and develop algorithms……","Skills: Computer science, Data mining, Spark, R, Research",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,82.0,175.0,128.5,Micros,WA,49,0,1,1,0,1,0,0,0,93.0,data scientist,na,161
7,Data Scientist,$98K - $209K (Employer est.),"Master's Degree in Data Science, Mathematics, Statistics, Computer Science, or related field AND 3+ years data-science experience (e.g., managing structured and……","Skills: C#, Java, C++, C, Machine learning",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,98.0,209.0,153.5,Micros,WA,49,0,1,0,0,1,0,1,0,111.0,data scientist,na,162
8,Data Scientist (Bioinformatics),$87K - $167K (Employer est.),"Performing, monitoring, and guiding the developing methods for data collection, preprocessing, and analysis by applying programming languages (e.g., R, Python),……","Skills: MATLAB, R, Tableau, Supervising experience, Data science",4.4,US National Institutes of Health,Remote,10000+ Employees,1887,Government,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,0,87.0,167.0,127.0,US National Institutes of Hea,,137,0,1,0,0,1,0,0,0,80.0,data scientist,na,162
9,"Data Scientist, 1+ Years of Experience",$97K - $145K (Employer est.),"1+ years of experience in quantitative analysis & data science or a related field. BS/BA degree in statistics, mathematics, economics, computer science,……","Skills: Data modeling, Data mining, Social media management, Big data, R",3.5,Snapchat,"Los Angeles, CA",5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,97.0,145.0,121.0,Snapc,CA,13,0,1,0,0,1,0,0,0,48.0,data scientist,na,154
10,Data Scientist,$100K - $130K (Employer est.),Excellent Communication: Excellent communication skills with the ability to communicate complex ideas effectively to both technical and non-technical……,"Skills: Statistics, R, SQL, C, Communication skills",3.7,Flip Fit,"El Segundo, CA",201 to 500 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,100.0,130.0,115.0,Flip,CA,5,0,1,0,0,1,1,0,1,30.0,data scientist,na,151
11,Data Scientist,$97K - $137K (Glassdoor est.),"Collaborates with a variety of customers and contractors on a regular basis, which may include technical consultation, meeting coordination and support (e.g.,……","Skills: Ontology, TensorFlow, Elasticsearch, Oracle, Data mining",4.5,The Swift Group,"McLean, VA",201 to 500 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,97.0,137.0,117.0,The Swift Gr,VA,5,0,1,0,0,1,0,0,0,40.0,data scientist,na,160
12,Data Scientist - Machine Learning,$144K - $240K (Employer est.),"Major in computer science, or any other related technical discipline; Design and develop data processing pipelines, including data labeling, data filtering,……","Skills: Data mining, Machine learning, Deep learning, Natural language processing, Python",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,144.0,240.0,192.0,Tik,CA,8,1,1,0,0,1,0,1,0,96.0,data scientist,na,158
13,Data Scientist,$100K - $140K (Employer est.),"Valid and current drivers license, vehicle and vehicle insurance. 3 - 7 years of experience in data analysis and reporting, business intelligence, business……","Skills: Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Microsoft Outlook",4.1,Weidner Apartment Homes,"Kirkland, WA",1001 to 5000 Employees,1977,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100.0,140.0,120.0,Weidner Apartment Ho,WA,47,0,1,0,0,1,0,0,0,40.0,data scientist,na,157
14,Data Scientist (Hourly Remote),$45.00 - $80.00 Per Hour (Employer est.),They will be encouraged to propose innovative ideas for new tools and functionality as well as develop improvements for existing solutions.…,"Skills: Statistical analysis, AWS, Analysis skills, Machine learning, Python",4.1,ARES Corporation,United States,501 to 1000 Employees,1992,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),1,90.0,160.0,62.5,ARES Corporat,,32,1,1,0,1,1,0,1,1,35.0,data scientist,na,140
15,Assoc Performance Data Scientist,$66K - $70K (Employer est.),"As needed, assist with developing and validating new algorithms, analysis tools, and predictive models. The associate develops tools to optimize performance……","Skills: Cloud infrastructure, R, HIPAA, SQL, AWS",2.7,United States Olympic and Paralympic Committee,Remote,501 to 1000 Employees,1894,Nonprofit Organization,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),0,66.0,70.0,68.0,United States Olympic and Paralympic Commit,,130,0,1,0,1,1,1,0,0,4.0,data scientist,na,158
16,Data Scientist,$89K - $118K (Employer est.),You possess a strong drive to learn and excel in solving complex problems using data-driven tools and algorithms. Evidence of innovative problem-solving skills.…,"Skills: TensorFlow, Statistics, Microsoft Excel, SQL, Machine learning",3.6,WEX Inc.,"Portland, ME",1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,89.0,118.0,103.5,WEX I,ME,41,0,1,0,0,1,1,1,1,29.0,data scientist,na,161
17,Data Scientist,$113K - $121K (Employer est.),"This position will require strong technical skills, including exploratory data analysis, data visualization, statistical analysis, and predictive modeling.…","Skills: Power BI, Azure, Data mining, Big data, R",3.9,TradeStation,Remote,501 to 1000 Employees,1982,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,113.0,121.0,117.0,TradeStat,,42,0,1,0,1,1,0,0,0,8.0,data scientist,na,156
18,Data Scientist,$78K - $112K (Glassdoor est.),"Execute strategy and support applications of statistical analysis, Machine Learning, Computer vision, and AI tools to improve product development, manufacturing……","Skills: Jira, TensorFlow, CI/CD, Computer vision, DevOps",3.8,Magna International Inc.,"Troy, MI",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),0,78.0,112.0,95.0,Magna International I,MI,67,0,1,0,0,1,0,0,0,34.0,data scientist,na,162
19,Data Scientist,$110K - $200K (Employer est.),3+ years of experience in working in the field of data analysis or 2+ years of experience in data science building ML models.…,"Skills: TensorFlow, Software deployment, R, Data analysis skills, Databases",3.8,"Ingenio, LLC",Remote,201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),0,110.0,200.0,155.0,"Ingenio,",,11,0,1,0,0,1,0,0,0,90.0,data scientist,na,126
20,Sr. Associate Data Scientist,$83K - $138K (Employer est.),JOB DUTIES: Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions; Identify……,"Skills: Power BI, Data mining, R, SQL, Statistical analysis",3.8,McKesson,"Irving, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,83.0,138.0,110.5,McKes,TX,191,0,1,0,0,1,1,0,1,55.0,data scientist,senior,156
