Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Technical Lead- AI/ML Expert,₹4L - ₹7L (Glassdoor Est.),N/A,3.8,"ZF
3.8",Hyderābād,N/A,N/A,N/A,N/A,N/A,N/A
Principle Supply Chain Data Scientist,₹7L - ₹10L (Glassdoor Est.),N/A,3.8,"MKS Instruments, Inc.
3.8",Bengaluru,N/A,N/A,N/A,N/A,N/A,N/A
Senior Member of Technical Staff- Machine Learning & AI,N/A,N/A,4.1,"Athenahealth
4.1",Chennai,N/A,N/A,N/A,N/A,N/A,N/A
Lead Member of Technical Staff – Lead AI/ML,N/A,N/A,4.1,"Athenahealth
4.1",Chennai,N/A,N/A,N/A,N/A,N/A,N/A
Specialist- AI/ML Expert,₹4L - ₹7L (Glassdoor Est.),N/A,3.8,"ZF
3.8",Hyderābād,N/A,N/A,N/A,N/A,N/A,N/A
"Sr Data Scientist, Supply Chain AI Delivery",₹10L (Glassdoor Est.),N/A,4.0,"Kimberly-Clark
4.0",Bengaluru,N/A,N/A,N/A,N/A,N/A,N/A
Sr Data Scientist,N/A,N/A,4.0,"Kimberly-Clark
4.0",Bengaluru,N/A,N/A,N/A,N/A,N/A,N/A
Experienced Computer AI/ML Teacher for CBSE School,₹15K (Employer provided),N/A,N/A,Avatar Public School,India,N/A,N/A,N/A,N/A,N/A,N/A
"Ai , data science and ML Trainer",₹15K - ₹32K (Employer provided),N/A,N/A,Shard Center for innovation,Chandigarh,N/A,N/A,N/A,N/A,N/A,N/A
"AI Engineer / Senior AI Engineer, India - BCG X",₹6L - ₹9L (Glassdoor Est.),N/A,4.2,"Boston Consulting Group
4.2",Gurgaon,N/A,N/A,N/A,N/A,N/A,N/A
